code;name;countryCode
Johannesburg (Gauteng);Johannesburg (Gauteng);South Africa
Dalian;Dalian;China
Foshan (Guangdong);Foshan (Guangdong);China
Kunshan (Jiangsu);Kunshan (Jiangsu);China
Bangalore (Karnataka);Bangalore (Karnataka);India
Chennai (Tamil Nadu);Chennai (Tamil Nadu);India
Gurgaon/Haryana (NCR);Gurgaon/Haryana (NCR);India
Hyderabad (Telangana);Hyderabad (Telangana);India
Jaipur (Rajasthan);Jaipur (Rajasthan);India
Jodhpur (Rajasthan);Jodhpur (Rajasthan);India
Kolkata (West Bengal);Kolkata (West Bengal);India
Madurai (Tamil Nadu);Madurai (Tamil Nadu);India
Mumbai (Maharashtra);Mumbai (Maharashtra);India
New Delhi (Delhi);New Delhi (Delhi);India
Noida (Uttar Pradesh);Noida (Uttar Pradesh);India
Pune (Maharashtra);Pune (Maharashtra);India
Warangal (Telangana);Warangal (Telangana);India
Tokyo (Chiyoda-ku);Tokyo (Chiyoda-ku);Japan
Yokohama (Kanagawa);Yokohama (Kanagawa);Japan
Kuala Lumpur / Petaling Jaya (Selangor);Kuala Lumpur / Petaling Jaya (Selangor);Malaysia
Bataan;Bataan;Philippines
Manila / Quezon City;Manila / Quezon City;Philippines
Singapore;Singapore;Singapore
Bogota;Bogota;Colombia
Heredia;Heredia;Costa Rica
Belo Horizonte (MG);Belo Horizonte (MG);Brazil
Uberlândia (MG);Uberlândia (MG);Brazil
Guatemala City;Guatemala City;Guatemala
Juárez (Chihuahua);Juárez (Chihuahua);Mexico
Guadalajara (Jalisco);Guadalajara (Jalisco);Mexico
Monterrey / San Pedro Garza García (Nuevo León);Monterrey / San Pedro Garza García (Nuevo León);Mexico
Cairo;Cairo;Egypt
Netanya;Netanya;Israel
Istanbul;Istanbul;Turkey
Toronto (Ontario);Toronto (Ontario);Canada
Atlanta (Georgia);Atlanta (Georgia);USA
Danville (Illinois);Danville (Illinois);USA
New York (New York);New York (New York);USA
Richardson (Texas);Richardson (Texas);USA
Wilkes-Barre (Pennsylvania);Wilkes-Barre (Pennsylvania);USA
Melbourne (Victoria);Melbourne (Victoria);Australia
Sydney (New South Wales);Sydney (New South Wales);Australia
Sofia;Sofia;Bulgaria
Paris;Paris;France
Budapest;Budapest;Hungary
Milano;Milano;Italy
Munich;Munich;Germany
Hoofddorp;Hoofddorp;Netherlands
Katowice;Katowice;Poland
Kraków;Kraków;Poland
Lublin;Lublin;Poland
Bielsko-Biała;Bielsko-Biała;Poland
Wrocław;Wrocław;Poland
Lisbon;Lisbon;Portugal
Dublin;Dublin;Republic of Ireland
Bucharest;Bucharest;Romania
Cluj Napoca;Cluj Napoca;Romania
Iași;Iași;Romania
Zug;Zug;Switzerland
London (England);London (England);United Kingdom
Manchester (Greater Manchester);Manchester (Greater Manchester);United Kingdom
Bellshill (Scotland);Bellshill (Scotland);United Kingdom



